,연수명,내용,별점,등록일
391,놀이와 질문이 함께하는 감동의 그림책 수업,많은 것을 배운 연수였습니다.,rate5,2023.05.02
392,"학습부진, 천천히 함께 걷기",많은 것을 배운 연수였습니다.,rate5,2023.05.02
393,EBS다큐프라임으로 배우는 생태전환교육,다른 연수에 비해 나의 생활을 되돌아보고 생각을 많이 하게 해주는 연수입니다,rate5,2023.05.02
394,핵심만 콕! 수업에 바로 쓰는 메타버스,수강 잘하였습니다,rate5,2023.05.02
395,온라인-오프라인 연계 수업 따라잡기,현장에서 활용가능한 다양한 연수 좋았습니다.,rate5,2023.05.02
396,"학습부진, 천천히 함께 걷기","보다 천천히
상황을 잘 이해하면서

국어, 수학에 잘 접근하도록 이끌수 있도록 하고 있습니다.",rate5,2023.05.01
397,EBS다큐프라임으로 배우는 생태전환교육,"여섯 번째 대멸종에 대해 관심을 갖으며 관련 배경 지식을 얻고자 연수를 들었습니다.
다양한 영상 자료를 통해 유익한 시간을 보냈습니다.
감사합니다.",rate5,2023.05.01
398,교실에서 바로 적용하는 스마트기기 활용 수업,이 연수를 통해 교실에 있는 탭을 좀 더 능숙하게 활용하고자 합니다. 반복해서 연수 내용을 듣고 익혀 활용하려구요~^^,rate5,2023.05.01
399,"학습격차, 차이를 넘어 함께 성장하기",기초학력부진아를 만나면 부족한 부분만 메워주려고 애를 쓴다. 그러면서 제자리걸음질 하는 상황이 답답하기만 하다. 그 부족을 차이로 인식하고 관계형성을 시작으로 학급에서도 격려받고 서로 돕고 도우며 함께 성장할 수 있겠다는 열쇠를 찾게 해 준 연수였다.,rate5,2023.05.01
400,"4R'S로 키우는 힘, 기초학력교육","학급에 있는 소위 기초학력부진아를 대상으로 맞춤형 교육을 하면서 어떤 부분에서 주춤거리는 지, 그 부분의 도움을 주기 위해 무엇을 제공해야 하는 지 답답했던 고민이 풀리게 하는 연수였다.",rate5,2023.05.01
401,"소통하는 학교, 참여하는 수업을 위한 교사의 퍼실리테이션 역량키우기","민주적 회의 문화, 민주적 학급경영에 대한 효용성은 공감하며 실천하고자 애쓴다.
하지만 어떻게 시작해서 어떤 과정으로 풀어야 하며 같이 하는 사람들과 어떻게 나누어야 할 지는 막연하다.
이 연수를 통해 퍼실리테이터의 마음가짐, 퍼실리테이션을 함께하는 사람들의 의견을 끌어내는 분위기 조성, 의견을 모아서 구성원들의 합의를 모은 결정의 방법들에 대한 구체적 사례와 시연의 제시는 연수자로 하여금 현장에서 실천할 수 있는 자신감과 구체적 방안을 제공해 주었다.",rate5,2023.05.01
402,핵심만 콕! 수업에 바로 쓰는 메타버스,"메타버스에 자신감을 가질 수 있는 연수였습니다.
연수에 참여하면서 여러 메타버스 플랫폼을 직접 만져보며 이해할 수 있어 좋았습니다.
다른 분들께도 연수 권장드립니다.",rate5,2023.05.01
403,뚜루뚜루와 함께 처음 시작하는 AI 코딩,"엔트리 블록 코딩에 하드웨어로 뚜루봇을 활용한 인공지능 코딩을 할 수 있어 친근감 있게 배울 수 있었습니다. 음성인식과 이미지 인식에서 이미지, 음성, 텍스트 머신러닝까지 뚜루봇이 다양하게 응용될 수 있다는게 흥미로웠습니다.",rate5,2023.04.30
404,박진희와 함께 하는 교실 속 환경교육,다양한 환경교육 실제 사례들을 적용해볼 수 있어서 좋은 연수였습니다.,rate5,2023.04.30
405,"소통하는 학교, 참여하는 수업을 위한 교사의 퍼실리테이션 역량키우기",도구라고 하면 실물 교구 등으로만 생각했는데 수업시간에 활용하는 다양한 기법 등도 도구임을 깨닫게 해준 연수입니다.,rate5,2023.04.30
406,전문가가 알려주는 창의 영재교육의 비법,30시간 강의가 많지 않은데 유익했습니다.,rate5,2023.04.29
407,놀이와 질문이 함께하는 감동의 그림책 수업,"좋은 책을 소개해주시고 그 책을 이용하여 아이들과 함께 삶에서 중요한 가치들에 대해 질문하고 놀이하는 활동들은 정말 감동적이었습니다. 이인희 선생님과 함께 연수에 참여하시는 선생님들도 진심으로 열심히 참여하시는 것 같아 같이 연수들으면서 행복했습니다.
좋은 연수 준비해주셔서 감사드립니다. 꼭 아이들과 함께 추천해주신 책을 읽고 수업을 하고 싶습니다. 감사합니다.",rate5,2023.04.29
408,꿈과 자존감이 자라는 교실 속 직업놀이 진로교육,"작년부터 알게된 직업놀이였습니다.
유튜브, 블로그, 카페로 시작해 책도 읽어보며 작년 적용을 교실에 하였고, 여러 고민거리와 생활지도의 어려움을 아이를 세워주는 방향으로 햐 보려고 했으나 쉽지 않았습니다.
다시 제대로 실천을 해 보자 싶어
드디어 이번에 수진샘 연수를 듣게 되었습니다.

아이의 변화된 이야기와 학부모의 감동 편지를 들을 때마다 울컥한 마음이 많이 올라오더군요.
아이의 가능성을 끝까지 믿어주고
아이를 세워주기 위한 선생님의 깊은 고민과 노력이 정말 많이 느껴졌습니다.

아이와의 지도 뿐만 아니라,
학부모와의 소통이 너무나 어려움을 느낀 적이 많기에
또한 학부모의 양육, 훈육 스타일과 교사가 추구하는 방향에서 일관성이 없다보니,
아이의 변화가 더디거나 아님 다시 돌아가버리거나 하는 것을 느끼기도 하여,
어떻게 저렇게 가능할까.. 라는 생각까지도 들었습니다.
신기할 정도로 대단하다고 할까요.

그렇게 두번째로 도전을 하고 있는데, 여전히 마음의 좌충우돌이 많지만,
선생님 연수를.들으며 다시 힘을 내고
다시 저를 일으켜 세우며 하루하루 이어가고 있습니다.

경력은 많아지고 어느덧 중견교사가 되어가지만 아직도 여전히
늘 쉽지 않은 생활지도와 학급경영을
수진샘의 연수로 새롭게 방향을 잡아가고 배우게 되기에
또 다시 힘을 내어 봅니다.
설레는 마음으로 하루 하루를 아이들의 마음에서 보고
잡아줄건 잡아주며
아이들이 중심이 되어 학급이 경영되는 모두가 행복해지는 학급을 만들어가도록 나아가겠습니다. 감사합니다",rate5,2023.04.28
409,EBS다큐프라임으로 배우는 생태전환교육,"생태전환교육을 위하여 신청한 연수로 인해 저의 생태상식이 많이 늘었습니다.
물론 외우려고 하면 용어가 계속 헷갈리지만 다양한 이야기들을 알 수 있는 기회가 되어서 유익했습니다.
감사합니다.",rate5,2023.04.28
410,"민주시민의 길, 평화와 통일교육","민주시민의 길, 평화와 통일교육 연수 잘 들었습니다. 감사드립니다.",rate3,2023.04.28
411,"기초학력교육, 관계형성이 먼저다.",방법적인 면에 너무 많은 도움되어 감사합니다.,rate5,2023.04.28
412,"소통하는 학교, 참여하는 수업을 위한 교사의 퍼실리테이션 역량키우기",소통하는 교사로 성장하고 학급 경영적인 측면에서도 큰 도움이 되는 강의였습니다. 학교 업무와 관련된 민주적 절차 등에 대한 부분도 일부 다루고 있어서 좋았어요. ^^,rate5,2023.04.28
413,정재승의 미래학교,"교육이란 '인간 행동의 의도적인 변화'라 생각하고 목표를 교사가 정하여 학생들을 도달시키기 위해 노력하였었는데...
정재승의 미래학교 강의를 들으며 변화하는 이 사회에서 교사의 역할을 재조명해야겠다는 생각을 하게 되었습니다.
융합적인 인간, 세계시민교육, 정보화 교육 등 다양한 변화를 감지하여 교육에 투영시키려면 교사는 어떤 생각을 해야 할까요?
정답을 바로 설명하긴 어렵지만 각종 다양한 연수를 들으면서 학생들을 사랑하고 가르친다면 그래도 기본은 되어있지 않을까요?
변화무쌍한 이 시절에 교사로서 변하지 말아야 할 것이 무엇인지 이 연수를 듣고 끊임없이 생각하게 되었습니다.
좋은 연수를 제공해주심에 진심으로 감사드립니다.",rate5,2023.04.28
414,유초등을 사로잡는 감동의 그림책 놀이수업,"저학년 학생들과 책읽기 지도를 하면서 흥미를 유발할 수 있으며
독서에 관심을 갖도록 하며 자연스럽게 책 읽기에 빠져 들도록 연수가 잘 구성되어서
실제 학교에서 학생들과 함께 실천해 볼 있다는 생각이든다.",rate5,2023.04.27
415,놀이와 질문이 함께하는 감동의 그림책 수업,"평소 제목 정도만 알던 그림책을 깊이 있게 알게 되었고, 이와 관련된 다양한 놀이들도 배울 수 있어서 교실에서 적용해 볼 수 있는 점이 유익했습니다. 저학년 교실에 바로 적용하기 좋은 것 같아요.",rate5,2023.04.27
416,EBS다큐프라임으로 배우는 생태전환교육,생태전환교육을 통해 환경을 더욱 아끼고 사랑하는 마음을 가졌습니다,rate5,2023.04.27
417,"학습부진, 천천히 함께 걷기","올해 4학년 담임인데, 이 학생들은 1학년 때 코로나를 맞이하여 등교하지 않고 EBS로 가정에서 학습하고 2, 3학년까지 마스크를 쓴 아이들이다.
학습 부진이 많을 것을 예상했고, 기초학습 태도도 잘 잡혀있지 않을 것 같아서 이 연수를 신청했다. 연수를 들어보니 아주 기초적인 학습에 대하여 국어,수학, 언어 등 잘 제시되어 있었다. 기초학습 부진에 대하여 좀 더 전문적으로 접근하고 이해하는데 많은 도움이 되었다.",rate5,2023.04.27
418,독서지도사 양성과정 1,"초등교사로서 아이들에게 중요한 독서지도의 전문적 방법을 익힐 수 있는 좋은 연수 였습니다.
다만, 한우리독서논술교실의 강의를 그대로 듣는 것 같은데...
동영상 강의가 너무 길고, 지루합니다.
외부 기관 동영상을 이용하는 강의라지만, 연수생의 입장에서 적절한 편집이 필요하지 않을까 생각합니다.",rate5,2023.04.27
419,"기초학력의 첫걸음, 한글교육","1학년은 처음이라 한글 미해득 학생들과 한글을 깨우치고 온 학생들이
차이가 많이 납니다. 그래서 지도하기 어려웠어요.

연수를 통해 자모의 중요성을 알게 되었고
어떤 방법으로 지도하는지도 노하우를 많이 알게 되었어요.

한글이 정말 중요하고 기본이 탄탄해야 하는구나!
또 한번 알게 됩니다. 알찬 연수 감사하고 저부터 한글 공부가 되었습니다.

1학년이라 깨우치게 되는 부분입니다.",rate5,2023.04.26
420,EBS다큐프라임으로 배우는 생태전환교육,생태전환교육 - 생생한 동영상 자료가 유익합니다.,rate5,2023.04.26
421,"민주시민의 길, 평화와 통일교육","통일교육이 어렵고, 학생들에게 답을 정하고 전달하는 느낌이었는데, 연수를 통해 다양한 접근법을 배웠습니다. 실천해 보겠습니다.",rate5,2023.04.26
422,교실에서 바로 적용하는 스마트기기 활용 수업,이번에 동학년 선생님따라 신청했는데 유익했습니다.,rate5,2023.04.26
423,EBS다큐프라임으로 배우는 생태전환교육,"급한 일이 있어 상시연수를 듣는데
배속이 안되는지 몰랐네요 ㅠㅠ

1.5배속까지는 괜찮지 않나요?
잘 들리는데

잘 모르는 식물, 동물 내용은 재미있었어요

아이들과 함께 한 번 더 들으려고
set신청하였습니다.",rate5,2023.04.25
424,디지털 변환시대에 따른 미래교육 환경의 변화,"수학과 과학을 개인적으로는 등한시 했었는데, 강의를 듣고 나니 꼭 필요한 교과중 하나네요 ^^ 미래교육을 위해 환경이 변하는 만큼 제 마인드로 바꿔야 겠습니다.",rate5,2023.04.25
425,조병영의 문해력 수업,문해력에 대해 생각할 수 있는 시간이었습니다.,rate5,2023.04.25
426,조병영의 문해력 수업,"학생들의 문해력지도에 도움이 되는 연수였습니다.
다양한 면에서 문해력을 향상 시킬 수 있도록 해 주심에 감사드립니다.",rate4,2023.04.24
427,두근두근! 1학년을 만나는 교사를 위한 한해살이 완벽 가이드 - 생활지도,"배운 내용을 바탕으로 1학년 지도중인 20대 후반 남교사입니다.

2월달부터 막연하게 두려웠던 1학년

연수덕분에 잘 시작할 수 있었습니다.

감사합니다!",rate5,2023.04.24
428,핵심만 콕! 수업에 바로 쓰는 메타버스,"듀얼 모니터와 태블릿 딱 준비해두고 교사 계정, 학생 계정 만들어 가며
이렇게 열심히 들었던 연수는 처음입니다~ ^^
다양한 메타버스 프로그램을 살펴보고나니 로블록스와 마인크래프트는 제게 너무 어렵고
ZEP과 코스페이시스 를 수업에 활용하면 좋겠다는 생각이 들더라고요.
ZEP과 코스페이시스 파고들기 연수 개설되었으면 좋겠어요! ^^
제페토는 조카에게 알려주니 너무 좋아하며 프로필 사진을 수시로 바꾸네요.^^
시간 가는 줄 모르고 들은 정말 즐거운 연수였습니다.
얼마나 열심히 들었는지 권장진도율 50%인데 저 벌써 끝냈네요 ^^",rate5,2023.04.24
